"year","month","total_sales"
"2015","1","14205.7070"
"2015","2","4519.8920"
"2015","3","55205.7970"
"2015","4","27906.8550"
"2015","5","23644.3030"
"2015","6","34322.9356"
"2015","7","33781.5430"
"2015","8","27117.5365"
"2015","9","81623.5268"
"2015","10","31453.3930"
"2015","11","77907.6607"
"2015","12","68167.0585"
"2016","1","18066.9576"
"2016","2","11951.4110"
"2016","3","32339.3184"
"2016","4","34154.4685"
"2016","5","29959.5305"
"2016","6","23599.3740"
"2016","7","28608.2590"
"2016","8","36818.3422"
"2016","9","63133.6060"
"2016","10","31011.7375"
"2016","11","75249.3995"
"2016","12","74543.6012"
"2017","1","18542.4910"
"2017","2","22978.8150"
"2017","3","51165.0590"
"2017","4","38679.7670"
"2017","5","56656.9080"
"2017","6","39724.4860"
"2017","7","38320.7830"
"2017","8","30542.2003"
"2017","9","69193.3909"
"2017","10","59583.0330"
"2017","11","79066.4958"
"2017","12","95739.1210"
"2018","1","43476.4740"
"2018","2","19920.9974"
"2018","3","58863.4128"
"2018","4","35541.9101"
"2018","5","43825.9822"
"2018","6","48190.7277"
"2018","7","44825.1040"
"2018","8","62837.8480"
"2018","9","86152.8880"
"2018","10","77448.1312"
"2018","11","117938.1550"
"2018","12","83030.3888"
